,city,country,latitude,longitude,humidity,cloudiness,windspeed,temperature
0,lavrentiya,RU,65.5833,-171.0,55.0,0.0,18.07,-0.29
1,maningrida,AU,-12.0667,134.2667,86.0,100.0,6.29,76.75
2,rikitea,PF,-23.1203,-134.9692,71.0,85.0,9.44,78.28
3,massakory,TD,12.996,15.7293,11.0,0.0,12.8,74.95
4,cockburn town,TC,21.4612,-71.1419,66.0,0.0,18.95,75.72
5,albany,US,42.6001,-73.9662,87.0,100.0,1.99,16.25
6,tyukalinsk,RU,55.8732,72.1967,80.0,100.0,13.0,21.24
7,batemans bay,AU,-35.7167,150.1833,86.0,98.0,8.03,62.62
8,maceio,BR,-9.6658,-35.7353,48.0,40.0,16.11,89.04
9,saint-philippe,RE,-21.3585,55.7679,88.0,100.0,27.92,79.3
10,port hawkesbury,CA,45.6169,-61.3485,98.0,100.0,12.66,31.3
11,pisco,PE,-13.7,-76.2167,68.0,0.0,10.36,71.65
12,port shepstone,ZA,-30.7414,30.455,92.0,100.0,12.37,70.7
13,jamestown,US,42.097,-79.2353,62.0,100.0,4.0,18.82
14,torbay,CA,47.6666,-52.7314,96.0,100.0,14.97,31.84
15,batouri,CM,4.4333,14.3667,20.0,98.0,2.39,78.01
16,kudahuvadhoo,MV,2.6708,72.8944,74.0,63.0,10.45,81.79
18,xinmin,CN,41.9908,122.8253,57.0,0.0,9.4,7.05
19,punta arenas,CL,-53.15,-70.9167,41.0,0.0,11.5,55.33
20,mbeya,TZ,-8.9,33.45,98.0,100.0,3.51,58.33
21,ustye,RU,59.6304,39.736,100.0,66.0,2.82,-2.16
22,ushuaia,AR,-54.8,-68.3,54.0,0.0,13.8,51.46
23,port hueneme,US,34.1478,-119.1951,20.0,0.0,21.85,62.47
24,bubaque,GW,11.2833,-15.8333,70.0,0.0,14.05,78.75
26,qaqortoq,GL,60.7167,-46.0333,73.0,89.0,25.97,10.9
27,puerto ayora,EC,-0.7393,-90.3518,84.0,46.0,5.99,79.56
28,chuy,UY,-33.6971,-53.4616,66.0,34.0,5.66,81.23
29,hilo,US,19.7297,-155.09,76.0,90.0,6.91,67.39
30,antofagasta,CL,-23.65,-70.4,53.0,16.0,11.34,74.21
31,alice springs,AU,-23.7,133.8833,88.0,4.0,0.0,58.55
32,leningradskiy,RU,69.3833,178.4167,90.0,3.0,8.88,-16.74
33,ambon,ID,-3.6954,128.1814,79.0,100.0,7.25,80.69
34,kapaa,US,22.0752,-159.319,94.0,0.0,6.91,62.92
35,qaanaaq,GL,77.484,-69.3632,62.0,87.0,9.35,-5.75
36,palasa,IN,18.7667,84.4167,90.0,2.0,6.85,70.9
37,mar del plata,AR,-38.0023,-57.5575,90.0,20.0,8.01,69.87
38,mogadishu,SO,2.0371,45.3438,87.0,11.0,19.39,77.65
39,sao joao da barra,BR,-21.6403,-41.0511,84.0,96.0,13.35,84.29
40,kisangani,CD,0.5167,25.2,67.0,94.0,1.95,76.42
41,boguchany,RU,58.3814,97.4531,99.0,97.0,3.91,5.67
42,port alfred,ZA,-33.5906,26.891,79.0,100.0,7.02,68.36
43,sol-iletsk,RU,51.1631,54.9918,82.0,100.0,13.44,27.91
44,bethel,US,41.3712,-73.414,93.0,100.0,4.61,32.52
45,tambopata,PE,-12.7333,-69.1833,66.0,75.0,6.91,87.69
47,mataura,NZ,-46.1927,168.8643,98.0,100.0,1.34,50.49
48,yashkul,RU,46.1711,45.3435,84.0,100.0,13.65,37.26
50,dingle,PH,10.9995,122.6711,91.0,100.0,12.5,74.05
51,shumikha,RU,55.2261,63.2961,85.0,100.0,13.85,21.33
52,kirksville,US,40.1948,-92.5833,48.0,21.0,5.01,20.79
54,butaritari,KI,3.0707,172.7902,75.0,11.0,17.85,82.09
55,morgan city,US,29.6994,-91.2068,87.0,100.0,16.11,37.24
56,atuona,PF,-9.8,-139.0333,77.0,11.0,17.34,78.31
57,lubao,PH,14.9167,120.55,82.0,65.0,6.38,78.91
58,victoria,HK,22.2855,114.1577,76.0,26.0,3.0,55.44
59,cape town,ZA,-33.9258,18.4232,52.0,0.0,7.0,67.15
60,geraldton,AU,-28.7667,114.6,68.0,0.0,3.44,70.21
61,talavera,PH,15.6167,120.9333,87.0,25.0,2.51,72.05
62,port hedland,AU,-20.3167,118.5667,79.0,100.0,5.75,86.05
63,thompson,CA,55.7435,-97.8558,69.0,0.0,8.05,-21.84
64,busselton,AU,-33.65,115.3333,64.0,0.0,6.11,65.05
65,arlit,NE,18.7369,7.3853,12.0,41.0,5.64,66.47
66,saint-pierre,RE,-21.3393,55.4781,74.0,40.0,9.22,79.92
68,pokhara,NP,28.2333,83.9833,91.0,100.0,3.18,46.47
69,pimentel,PE,-6.8367,-79.9342,57.0,0.0,12.66,79.09
72,waipawa,NZ,-41.4122,175.5153,95.0,100.0,13.53,54.36
73,barrow,US,71.2906,-156.7887,68.0,20.0,8.05,-27.38
74,hithadhoo,MV,-0.6,73.0833,73.0,57.0,10.4,82.17
75,kefamenanu,ID,-9.4467,124.4781,88.0,100.0,2.59,71.31
76,cururupu,BR,-1.8283,-44.8683,68.0,90.0,5.88,84.11
77,porto novo,BJ,6.4965,2.6036,68.0,4.0,9.28,85.82
78,avarua,CK,-21.2078,-159.775,78.0,96.0,5.75,78.85
79,kharp,RU,66.8014,65.8081,95.0,100.0,3.38,9.86
82,sitka,US,57.0531,-135.33,87.0,100.0,13.8,42.69
83,tsiroanomandidy,MG,-18.7667,46.0333,93.0,94.0,5.73,69.82
84,lompoc,US,34.6391,-120.4579,61.0,0.0,5.75,55.08
85,yuzhno-kurilsk,RU,44.0306,145.8556,75.0,65.0,7.85,21.65
86,saskylakh,RU,71.9167,114.0833,99.0,100.0,4.16,-7.64
87,sakakah,SA,29.9697,40.2064,43.0,20.0,10.6,54.97
88,vao,NC,-22.6667,167.4833,87.0,92.0,17.11,80.08
89,castro,BR,-24.7911,-50.0119,96.0,100.0,7.67,65.7
90,ola,RU,59.5833,151.2833,78.0,81.0,11.16,-3.71
91,wattegama,LK,6.7989,81.4808,89.0,51.0,2.35,69.39
92,dukat,RU,62.55,155.55,71.0,68.0,7.52,-19.34
93,khatanga,RU,71.9667,102.5,100.0,97.0,3.06,-35.01
